Plate,Sample_name,primer,NWFSCsampleID,dilution,techRep,SampleUID,PlateNo
331,MV1-52193-132-d10-1_S48,MV1,52193-132,d10,1,MV1-52193-132-d10-1_S48_331,2.6
317,MFU-52193-1320-d1-1_S78,MFU,52193-1320,d1,1,MFU-52193-1320-d1-1_S78_317,2.5
330,MV1-52193-1320-d10-1_S64,MV1,52193-1320,d10,1,MV1-52193-1320-d10-1_S64_330,2.5
317,MFU-52193-1322-d5-1_S76,MFU,52193-1322,d5,1,MFU-52193-1322-d5-1_S76_317,2.5
330,MV1-52193-1322-d10-1_S50,MV1,52193-1322,d10,1,MV1-52193-1322-d10-1_S50_330,2.5
317,MFU-52193-1330-d5-1_S5,MFU,52193-1330,d5,1,MFU-52193-1330-d5-1_S5_317,2.5
330,MV1-52193-1330-d5-1_S5,MV1,52193-1330,d5,1,MV1-52193-1330-d5-1_S5_330,2.5
316,MFU-52193-1332-d1-1_S24,MFU,52193-1332,d1,1,MFU-52193-1332-d1-1_S24_316,2.4
329,MV1-52193-1332-d1-1_S39,MV1,52193-1332,d1,1,MV1-52193-1332-d1-1_S39_329,2.4
313,MFU-52193-1334-d1-1_S40,MFU,52193-1334,d1,1,MFU-52193-1334-d1-1_S40_313,2.1
323,MV1-52193-1334-d1-1_S28,MV1,52193-1334,d1,1,MV1-52193-1334-d1-1_S28_323,2.1
324,MV1-52193-1334-d1-2_S40,MV1,52193-1334,d1,2,MV1-52193-1334-d1-2_S40_324,2.1
325,MV1-52193-1334-d1-3_S40,MV1,52193-1334,d1,3,MV1-52193-1334-d1-3_S40_325,2.1
315,MFU-52193-1336-d1-1_S38,MFU,52193-1336,d1,1,MFU-52193-1336-d1-1_S38_315,2.3
328,MV1-52193-1336-d1-1_S54,MV1,52193-1336,d1,1,MV1-52193-1336-d1-1_S54_328,2.3
314,MFU-52193-1340-d1-1_S58,MFU,52193-1340,d1,1,MFU-52193-1340-d1-1_S58_314,2.2
326,MV1-52193-1340-d1-1_S72,MV1,52193-1340,d1,1,MV1-52193-1340-d1-1_S72_326,2.2
327,MV1-52193-1340-d1-2_S72,MV1,52193-1340,d1,2,MV1-52193-1340-d1-2_S72_327,2.2
316,MFU-52193-1343-d5-1_S31,MFU,52193-1343,d5,1,MFU-52193-1343-d5-1_S31_316,2.4
329,MV1-52193-1343-d5-1_S53,MV1,52193-1343,d5,1,MV1-52193-1343-d5-1_S53_329,2.4
317,MFU-52193-135-d10-1_S100,MFU,52193-135,d10,1,MFU-52193-135-d10-1_S100_317,2.6
331,MV1-52193-135-d1-1_S18,MV1,52193-135,d1,1,MV1-52193-135-d1-1_S18_331,2.6
331,MV1-52193-135-d1-1_S18,MV1,52193-135,d1,1,MV1-52193-135-d1-1_S18_331,2.6
327,MV1-52193-1353-d10-2_S79,MV1,52193-1353,d10,2,MV1-52193-1353-d10-2_S79_327,2.2
314,MFU-52193-1355-d5-1_S20,MFU,52193-1355,d5,1,MFU-52193-1355-d5-1_S20_314,2.2
326,MV1-52193-1355-d5-1_S26,MV1,52193-1355,d5,1,MV1-52193-1355-d5-1_S26_326,2.2
327,MV1-52193-1355-d5-2_S26,MV1,52193-1355,d5,2,MV1-52193-1355-d5-2_S26_327,2.2
317,MFU-52193-1357-d1-1_S50,MFU,52193-1357,d1,1,MFU-52193-1357-d1-1_S50_317,2.5
330,MV1-52193-1357-d1-1_S69,MV1,52193-1357,d1,1,MV1-52193-1357-d1-1_S69_330,2.5
316,MFU-52193-1359-d1-1_S10,MFU,52193-1359,d1,1,MFU-52193-1359-d1-1_S10_316,2.4
329,MV1-52193-1359-d1-1_S14,MV1,52193-1359,d1,1,MV1-52193-1359-d1-1_S14_329,2.4
317,MFU-52193-1363-d1-1_S29,MFU,52193-1363,d1,1,MFU-52193-1363-d1-1_S29_317,2.5
330,MV1-52193-1363-d1-1_S40,MV1,52193-1363,d1,1,MV1-52193-1363-d1-1_S40_330,2.5
314,MFU-52193-1367-d1-1_S8,MFU,52193-1367,d1,1,MFU-52193-1367-d1-1_S8_314,2.2
326,MV1-52193-1367-d1-1_S11,MV1,52193-1367,d1,1,MV1-52193-1367-d1-1_S11_326,2.2
327,MV1-52193-1367-d1-2_S11,MV1,52193-1367,d1,2,MV1-52193-1367-d1-2_S11_327,2.2
318,MFU-52193-1369-d10-1_S91,MFU,52193-1369,d10,1,MFU-52193-1369-d10-1_S91_318,2.1
323,MV1-52193-1369-d10-1_S91,MV1,52193-1369,d10,1,MV1-52193-1369-d10-1_S91_323,2.1
324,MV1-52193-1369-d10-2_S61,MV1,52193-1369,d10,2,MV1-52193-1369-d10-2_S61_324,2.1
325,MV1-52193-1369-d10-3_S61,MV1,52193-1369,d10,3,MV1-52193-1369-d10-3_S61_325,2.1
315,MFU-52193-1377-d1-1_S13,MFU,52193-1377,d1,1,MFU-52193-1377-d1-1_S13_315,2.3
328,MV1-52193-1377-d1-1_S17,MV1,52193-1377,d1,1,MV1-52193-1377-d1-1_S17_328,2.3
314,MFU-52193-1379-d10-1_S74,MFU,52193-1379,d10,1,MFU-52193-1379-d10-1_S74_314,2.2
326,MV1-52193-1379-d10-1_S10,MV1,52193-1379,d10,1,MV1-52193-1379-d10-1_S10_326,2.2
327,MV1-52193-1379-d10-2_S10,MV1,52193-1379,d10,2,MV1-52193-1379-d10-2_S10_327,2.2
313,MFU-52193-1385-d1-1_S74,MFU,52193-1385,d1,1,MFU-52193-1385-d1-1_S74_313,2.1
323,MV1-52193-1385-d1-1_S54,MV1,52193-1385,d1,1,MV1-52193-1385-d1-1_S54_323,2.1
324,MV1-52193-1385-d1-2_S74,MV1,52193-1385,d1,2,MV1-52193-1385-d1-2_S74_324,2.1
325,MV1-52193-1385-d1-3_S74,MV1,52193-1385,d1,3,MV1-52193-1385-d1-3_S74_325,2.1
314,MFU-52193-1388-d5-1_S24,MFU,52193-1388,d5,1,MFU-52193-1388-d5-1_S24_314,2.2
326,MV1-52193-1388-d5-1_S30,MV1,52193-1388,d5,1,MV1-52193-1388-d5-1_S30_326,2.2
327,MV1-52193-1388-d5-2_S30,MV1,52193-1388,d5,2,MV1-52193-1388-d5-2_S30_327,2.2
304,MFU-52193-1395-d5-1_S193,MFU,52193-1395,d5,1,MFU-52193-1395-d5-1_S193_304,2
306,DL-52193-1395-d5-1,DL,52193-1395,d5,1,DL-52193-1395-d5-1_306,2
